municipality,year,treat,newcomers,rents,popu
chiyoda,2011,1,5757.0,1930000.0,913
chiyoda,2012,1,6103.0,1908600.0,848
chiyoda,2013,1,7072.0,1908600.0,897
chiyoda,2014,1,7406.0,482600.4504504505,942
chiyoda,2015,1,6722.0,482600.4504504505,994
chiyoda,2016,1,6383.0,2358600.0,1134
chiyoda,2017,1,6764.0,2488600.0,986
chiyoda,2018,1,7493.0,2618600.0,934
chiyoda,2019,1,26574.4,482600.4504504505,1016
chiyoda,2020,1,26574.4,482600.4504504505,632
chiyoda,2021,1,26574.4,482600.4504504505,591
chohu,2008,1,15452.0,352000.0,70
chohu,2009,1,14991.0,326200.0,100
chohu,2010,1,13981.0,308700.0,0
chohu,2011,1,14218.0,306300.0,94
chohu,2012,1,14433.0,304200.0,0
chohu,2013,1,13781.0,305900.0,0
chohu,2014,1,13233.0,482600.4504504505,44
chohu,2015,1,15055.0,482600.4504504505,37
chohu,2016,1,15055.0,318800.0,129
chohu,2017,1,14390.0,322350.0,53
chohu,2018,1,14469.0,325900.0,83
chohu,2019,1,26574.4,482600.4504504505,47
chohu,2020,1,26574.4,482600.4504504505,0
chohu,2021,1,26574.4,482600.4504504505,48
chuo,2008,1,15187.0,922800.0,196
chuo,2009,1,13889.0,871100.0,144
chuo,2010,1,12992.0,764400.0,234
chuo,2011,1,13845.0,809600.0,197
chuo,2012,1,13269.0,803300.0,375
chuo,2013,1,14186.0,857000.0,320
chuo,2014,1,15173.0,482600.4504504505,404
chuo,2015,1,14973.0,482600.4504504505,467
chuo,2016,1,15946.0,1108700.0,523
chuo,2017,1,16853.0,1152200.0,501
chuo,2018,1,15374.0,1195700.0,565
chuo,2019,1,26574.4,482600.4504504505,459
chuo,2020,1,26574.4,482600.4504504505,344
chuo,2021,1,26574.4,482600.4504504505,239
edogawa,2008,1,33660.0,347300.0,0
edogawa,2009,1,33044.0,329700.0,66
edogawa,2010,1,32975.0,307600.0,0
edogawa,2011,1,30291.0,305100.0,37
edogawa,2012,1,29592.0,301300.0,14
edogawa,2013,1,31162.0,300200.0,48
edogawa,2014,1,31953.0,482600.4504504505,37
edogawa,2015,1,33333.0,482600.4504504505,36
edogawa,2016,1,32199.0,311900.0,0
edogawa,2017,1,32270.0,321950.0,29
edogawa,2018,1,31131.0,332000.0,0
edogawa,2019,1,26574.4,482600.4504504505,174
edogawa,2020,1,26574.4,482600.4504504505,138
edogawa,2021,1,26574.4,482600.4504504505,141
funabashi,2008,0,31744.0,158900.0,0
funabashi,2009,0,32845.0,151100.0,100
funabashi,2010,0,30214.0,143700.0,0
funabashi,2011,0,27356.0,142200.0,0
funabashi,2012,0,27751.0,140200.0,57
funabashi,2013,0,28945.0,136600.0,0
funabashi,2014,0,26970.0,482600.4504504505,100
funabashi,2015,0,28154.0,482600.4504504505,0
funabashi,2016,0,27714.0,141900.0,0
funabashi,2017,0,28575.0,143600.0,131
funabashi,2018,0,28680.0,145300.0,0
funabashi,2019,0,26574.4,482600.4504504505,0
funabashi,2020,0,26574.4,482600.4504504505,157
funabashi,2021,0,26574.4,482600.4504504505,103
ichikawa,2008,0,29658.0,244300.0,100
ichikawa,2009,0,29254.0,230600.0,161
ichikawa,2010,0,26917.0,208300.0,56
ichikawa,2011,0,25058.0,208100.0,95
ichikawa,2012,0,24792.0,202900.0,82
ichikawa,2013,0,26043.0,197500.0,109
ichikawa,2014,0,27047.0,482600.4504504505,52
ichikawa,2015,0,27463.0,482600.4504504505,0
ichikawa,2016,0,26871.0,204400.0,206
ichikawa,2017,0,26796.0,206150.0,0
ichikawa,2018,0,26481.0,207900.0,76
ichikawa,2019,0,26574.4,482600.4504504505,48
ichikawa,2020,0,26574.4,482600.4504504505,133
ichikawa,2021,0,26574.4,482600.4504504505,136
itabashi,2008,0,31443.0,411100.0,100
itabashi,2009,0,30965.0,384500.0,0
itabashi,2010,0,29358.0,359700.0,190
itabashi,2011,0,30024.0,357200.0,70
itabashi,2012,0,31412.0,352700.0,0
itabashi,2013,0,30931.0,347700.0,100
itabashi,2014,0,30955.0,482600.4504504505,0
itabashi,2015,0,33063.0,482600.4504504505,146
itabashi,2016,0,32655.0,364500.0,52
itabashi,2017,0,32113.0,378150.0,0
itabashi,2018,0,33200.0,391800.0,53
itabashi,2019,0,26574.4,482600.4504504505,41
itabashi,2020,0,26574.4,482600.4504504505,151
itabashi,2021,0,26574.4,482600.4504504505,0
katsushika,2008,0,19815.0,302800.0,68
katsushika,2009,0,20560.0,289200.0,164
katsushika,2010,0,21745.0,278000.0,54
katsushika,2011,0,18859.0,275500.0,94
katsushika,2012,0,18730.0,273600.0,0
katsushika,2013,0,19765.0,276700.0,100
katsushika,2014,0,18854.0,482600.4504504505,0
katsushika,2015,0,20922.0,482600.4504504505,0
katsushika,2016,0,20672.0,286900.0,55
katsushika,2017,0,21138.0,294100.0,0
katsushika,2018,0,21315.0,301300.0,0
katsushika,2019,0,26574.4,482600.4504504505,0
katsushika,2020,0,26574.4,482600.4504504505,0
katsushika,2021,0,26574.4,482600.4504504505,55
kawaguchi,2008,0,22844.0,196800.0,178
kawaguchi,2009,0,22760.0,190600.0,100
kawaguchi,2010,0,21266.0,181700.0,0
kawaguchi,2011,0,23158.0,180500.0,72
kawaguchi,2012,0,22756.0,177800.0,0
kawaguchi,2013,0,22671.0,189200.0,0
kawaguchi,2014,0,22766.0,482600.4504504505,171
kawaguchi,2015,0,22126.0,482600.4504504505,97
kawaguchi,2016,0,21309.0,191700.0,130
kawaguchi,2017,0,22935.0,193500.0,57
kawaguchi,2018,0,22990.0,195300.0,115
kawaguchi,2019,0,26574.4,482600.4504504505,205
kawaguchi,2020,0,26574.4,482600.4504504505,40
kawaguchi,2021,0,26574.4,482600.4504504505,182
kawasaki,2008,0,97096.0,482600.4504504505,709
kawasaki,2009,0,96392.0,482600.4504504505,575
kawasaki,2010,0,90926.0,482600.4504504505,491
kawasaki,2011,0,86719.0,482600.4504504505,531
kawasaki,2012,0,90385.0,482600.4504504505,455
kawasaki,2013,0,90385.0,482600.4504504505,845
kawasaki,2014,0,87397.0,482600.4504504505,796
kawasaki,2015,0,93417.0,482600.4504504505,804
kawasaki,2016,0,90278.0,482600.4504504505,725
kawasaki,2017,0,91753.0,482600.4504504505,996
kawasaki,2018,0,90857.0,482600.4504504505,684
kawasaki,2019,0,26574.4,482600.4504504505,711
kawasaki,2020,0,26574.4,482600.4504504505,680
kawasaki,2021,0,26574.4,482600.4504504505,684
kita,2008,0,20538.0,400900.0,89
kita,2009,0,19382.0,387300.0,100
kita,2010,0,19383.0,369800.0,0
kita,2011,0,19650.0,390100.0,0
kita,2012,0,21318.0,387900.0,0
kita,2013,0,21197.0,381700.0,100
kita,2014,0,21502.0,482600.4504504505,0
kita,2015,0,21676.0,482600.4504504505,0
kita,2016,0,21897.0,406600.0,77
kita,2017,0,22055.0,432650.0,0
kita,2018,0,23296.0,458700.0,0
kita,2019,0,26574.4,482600.4504504505,72
kita,2020,0,26574.4,482600.4504504505,0
kita,2021,0,26574.4,482600.4504504505,0
komae,2008,0,4805.0,338500.0,0
komae,2009,0,5017.0,482600.4504504505,0
komae,2010,0,4622.0,482600.4504504505,0
komae,2011,0,4591.0,482600.4504504505,0
komae,2012,0,4850.0,482600.4504504505,0
komae,2013,0,5397.0,482600.4504504505,0
komae,2014,0,5434.0,482600.4504504505,0
komae,2015,0,5297.0,482600.4504504505,0
komae,2016,0,4993.0,293900.0,0
komae,2017,0,5319.0,482600.4504504505,100
komae,2018,0,4864.0,482600.4504504505,149
komae,2019,0,26574.4,482600.4504504505,0
komae,2020,0,26574.4,482600.4504504505,0
komae,2021,0,26574.4,482600.4504504505,0
koto,2008,1,29620.0,390200.0,191
koto,2009,1,31565.0,372900.0,66
koto,2010,1,27383.0,357100.0,111
koto,2011,1,28006.0,353400.0,145
koto,2012,1,28344.0,348000.0,552
koto,2013,1,30263.0,372900.0,423
koto,2014,1,29013.0,482600.4504504505,436
koto,2015,1,30890.0,482600.4504504505,491
koto,2016,1,28062.0,400900.0,429
koto,2017,1,30523.0,415800.0,346
koto,2018,1,29083.0,430700.0,391
koto,2019,1,26574.4,482600.4504504505,960
koto,2020,1,26574.4,482600.4504504505,651
koto,2021,1,26574.4,482600.4504504505,746
matsudo,2008,0,23904.0,151500.0,0
matsudo,2009,0,22906.0,145800.0,137
matsudo,2010,0,21480.0,139800.0,0
matsudo,2011,0,19447.0,142200.0,100
matsudo,2012,0,18754.0,132800.0,31
matsudo,2013,0,18859.0,128900.0,0
matsudo,2014,0,19254.0,482600.4504504505,0
matsudo,2015,0,20171.0,482600.4504504505,93
matsudo,2016,0,20011.0,132000.0,0
matsudo,2017,0,20181.0,132800.0,174
matsudo,2018,0,20801.0,133600.0,149
matsudo,2019,0,26574.4,482600.4504504505,0
matsudo,2020,0,26574.4,482600.4504504505,66
matsudo,2021,0,26574.4,482600.4504504505,137
meguro,2008,0,20425.0,847500.0,100
meguro,2009,0,21491.0,758100.0,0
meguro,2010,0,21891.0,698700.0,51
meguro,2011,0,22255.0,696700.0,37
meguro,2012,0,23986.0,689300.0,70
meguro,2013,0,23717.0,714900.0,94
meguro,2014,0,22525.0,482600.4504504505,75
meguro,2015,0,22947.0,482600.4504504505,0
meguro,2016,0,22220.0,811000.0,57
meguro,2017,0,22717.0,843550.0,138
meguro,2018,0,22491.0,876100.0,0
meguro,2019,0,26574.4,482600.4504504505,526
meguro,2020,0,26574.4,482600.4504504505,372
meguro,2021,0,26574.4,482600.4504504505,50
minato,2008,1,20465.0,1683800.0,51
minato,2009,1,20072.0,1440000.0,60
minato,2010,1,20813.0,1308200.0,165
minato,2011,1,20579.0,1282500.0,140
minato,2012,1,21295.0,1269800.0,96
minato,2013,1,21781.0,1259100.0,225
minato,2014,1,21853.0,482600.4504504505,251
minato,2015,1,21630.0,482600.4504504505,313
minato,2016,1,21052.0,1508900.0,211
minato,2017,1,20496.0,1645000.0,233
minato,2018,1,20132.0,1781100.0,232
minato,2019,1,26574.4,482600.4504504505,740
minato,2020,1,26574.4,482600.4504504505,648
minato,2021,1,26574.4,482600.4504504505,628
misato,2008,0,4861.0,130900.0,0
misato,2009,0,5227.0,127600.0,0
misato,2010,0,5516.0,122600.0,0
misato,2011,0,5293.0,118800.0,0
misato,2012,0,5661.0,114900.0,0
misato,2013,0,5810.0,109400.0,0
misato,2014,0,5536.0,482600.4504504505,100
misato,2015,0,5643.0,482600.4504504505,220
misato,2016,0,5902.0,109100.0,128
misato,2017,0,5545.0,111000.0,0
misato,2018,0,6468.0,112900.0,0
misato,2019,0,26574.4,482600.4504504505,110
misato,2020,0,26574.4,482600.4504504505,52
misato,2021,0,26574.4,482600.4504504505,101
mitaka,2008,0,11515.0,402000.0,68
mitaka,2009,0,12502.0,364800.0,0
mitaka,2010,0,11197.0,351800.0,0
mitaka,2011,0,11430.0,349000.0,44
mitaka,2012,0,11836.0,349200.0,0
mitaka,2013,0,11557.0,349900.0,100
mitaka,2014,0,12507.0,482600.4504504505,0
mitaka,2015,0,11948.0,482600.4504504505,0
mitaka,2016,0,12483.0,373500.0,0
mitaka,2017,0,11522.0,383800.0,0
mitaka,2018,0,11033.0,394100.0,109
mitaka,2019,0,26574.4,482600.4504504505,0
mitaka,2020,0,26574.4,482600.4504504505,93
mitaka,2021,0,26574.4,482600.4504504505,131
musashino,2008,0,9645.0,536000.0,0
musashino,2009,0,10400.0,482300.0,100
musashino,2010,0,10510.0,451600.0,99
musashino,2011,0,9794.0,455700.0,0
musashino,2012,0,10750.0,455300.0,0
musashino,2013,0,11100.0,455400.0,0
musashino,2014,0,10366.0,482600.4504504505,0
musashino,2015,0,10530.0,482600.4504504505,60
musashino,2016,0,9874.0,499500.0,42
musashino,2017,0,9995.0,516050.0,82
musashino,2018,0,10345.0,532600.0,333
musashino,2019,0,26574.4,482600.4504504505,209
musashino,2020,0,26574.4,482600.4504504505,134
musashino,2021,0,26574.4,482600.4504504505,378
nakano,2008,0,24864.0,552600.0,167
nakano,2009,0,25637.0,507600.0,50
nakano,2010,0,25769.0,466300.0,100
nakano,2011,0,26372.0,468400.0,0
nakano,2012,0,27323.0,465000.0,0
nakano,2013,0,27222.0,463300.0,0
nakano,2014,0,25976.0,482600.4504504505,0
nakano,2015,0,28888.0,482600.4504504505,0
nakano,2016,0,26519.0,497500.0,297
nakano,2017,0,25958.0,520950.0,345
nakano,2018,0,26432.0,544400.0,340
nakano,2019,0,26574.4,482600.4504504505,496
nakano,2020,0,26574.4,482600.4504504505,482
nakano,2021,0,26574.4,482600.4504504505,311
narashino,2008,0,9051.0,155800.0,76
narashino,2009,0,8878.0,147400.0,0
narashino,2010,0,9196.0,139900.0,0
narashino,2011,0,8591.0,139800.0,0
narashino,2012,0,7900.0,137500.0,0
narashino,2013,0,9579.0,135800.0,0
narashino,2014,0,9215.0,482600.4504504505,0
narashino,2015,0,10139.0,482600.4504504505,0
narashino,2016,0,9998.0,145900.0,62
narashino,2017,0,8645.0,148250.0,0
narashino,2018,0,8337.0,150600.0,50
narashino,2019,0,26574.4,482600.4504504505,188
narashino,2020,0,26574.4,482600.4504504505,279
narashino,2021,0,26574.4,482600.4504504505,160
nerima,2008,1,40575.0,391700.0,505
nerima,2009,1,41213.0,355400.0,554
nerima,2010,1,39565.0,337600.0,602
nerima,2011,1,39856.0,336600.0,575
nerima,2012,1,40014.0,334800.0,552
nerima,2013,1,39207.0,335400.0,667
nerima,2014,1,39016.0,482600.4504504505,742
nerima,2015,1,41032.0,482600.4504504505,774
nerima,2016,1,40088.0,351800.0,1050
nerima,2017,1,40738.0,360600.0,1009
nerima,2018,1,40939.0,369400.0,908
nerima,2019,1,26574.4,482600.4504504505,904
nerima,2020,1,26574.4,482600.4504504505,929
nerima,2021,1,26574.4,482600.4504504505,917
ota,2008,0,39092.0,528600.0,448
ota,2009,0,38874.0,484100.0,670
ota,2010,0,37039.0,451800.0,530
ota,2011,0,37809.0,449100.0,566
ota,2012,0,39132.0,444600.0,497
ota,2013,0,40770.0,444700.0,674
ota,2014,0,41397.0,482600.4504504505,620
ota,2015,0,42053.0,482600.4504504505,604
ota,2016,0,41320.0,478000.0,583
ota,2017,0,43007.0,489850.0,636
ota,2018,0,43444.0,501700.0,607
ota,2019,0,26574.4,482600.4504504505,810
ota,2020,0,26574.4,482600.4504504505,574
ota,2021,0,26574.4,482600.4504504505,577
setagaya,2008,1,55695.0,627900.0,707
setagaya,2009,1,56252.0,560600.0,778
setagaya,2010,1,57278.0,520000.0,619
setagaya,2011,1,57707.0,516000.0,552
setagaya,2012,1,57794.0,510100.0,446
setagaya,2013,1,58826.0,512300.0,440
setagaya,2014,1,56859.0,482600.4504504505,440
setagaya,2015,1,60486.0,482600.4504504505,450
setagaya,2016,1,57908.0,544100.0,551
setagaya,2017,1,57563.0,566700.0,574
setagaya,2018,1,57683.0,589300.0,560
setagaya,2019,1,26574.4,482600.4504504505,548
setagaya,2020,1,26574.4,482600.4504504505,539
setagaya,2021,1,26574.4,482600.4504504505,633
shibuya,2008,1,18507.0,1191300.0,469
shibuya,2009,1,19661.0,1042300.0,472
shibuya,2010,1,19652.0,949000.0,457
shibuya,2011,1,20709.0,980600.0,421
shibuya,2012,1,20881.0,964200.0,374
shibuya,2013,1,21329.0,961900.0,433
shibuya,2014,1,19949.0,482600.4504504505,469
shibuya,2015,1,20873.0,482600.4504504505,584
shibuya,2016,1,19564.0,1054000.0,705
shibuya,2017,1,19679.0,1098050.0,799
shibuya,2018,1,19255.0,1142100.0,884
shibuya,2019,1,26574.4,482600.4504504505,943
shibuya,2020,1,26574.4,482600.4504504505,829
shibuya,2021,1,26574.4,482600.4504504505,854
shinagawa,2008,1,25783.0,732100.0,822
shinagawa,2009,1,26844.0,657400.0,736
shinagawa,2010,1,26717.0,601300.0,735
shinagawa,2011,1,26185.0,595800.0,574
shinagawa,2012,1,26951.0,595300.0,532
shinagawa,2013,1,26849.0,590500.0,588
shinagawa,2014,1,26853.0,482600.4504504505,678
shinagawa,2015,1,29605.0,482600.4504504505,779
shinagawa,2016,1,27386.0,661000.0,837
shinagawa,2017,1,28197.0,709950.0,921
shinagawa,2018,1,30021.0,758900.0,940
shinagawa,2019,1,26574.4,482600.4504504505,1006
shinagawa,2020,1,26574.4,482600.4504504505,604
shinagawa,2021,1,26574.4,482600.4504504505,392
shinjuku,2008,1,27788.0,718000.0,362
shinjuku,2009,1,27827.0,654500.0,545
shinjuku,2010,1,28256.0,601800.0,433
shinjuku,2011,1,28056.0,602700.0,345
shinjuku,2012,1,29217.0,604600.0,298
shinjuku,2013,1,29214.0,601600.0,404
shinjuku,2014,1,27888.0,482600.4504504505,446
shinjuku,2015,1,30976.0,482600.4504504505,679
shinjuku,2016,1,27701.0,661100.0,745
shinjuku,2017,1,28394.0,685200.0,1043
shinjuku,2018,1,29035.0,709300.0,946
shinjuku,2019,1,26574.4,482600.4504504505,1037
shinjuku,2020,1,26574.4,482600.4504504505,936
shinjuku,2021,1,26574.4,482600.4504504505,865
soka,2008,0,11150.0,147600.0,200
soka,2009,0,10597.0,143200.0,0
soka,2010,0,10425.0,137300.0,0
soka,2011,0,10680.0,134100.0,186
soka,2012,0,9669.0,131200.0,96
soka,2013,0,9598.0,128300.0,100
soka,2014,0,9661.0,482600.4504504505,0
soka,2015,0,9930.0,482600.4504504505,0
soka,2016,0,9747.0,129400.0,178
soka,2017,0,10022.0,131000.0,0
soka,2018,0,10097.0,132600.0,74
soka,2019,0,26574.4,482600.4504504505,0
soka,2020,0,26574.4,482600.4504504505,0
soka,2021,0,26574.4,482600.4504504505,0
suginami,2008,0,39785.0,518600.0,532
suginami,2009,0,39192.0,468800.0,751
suginami,2010,0,38649.0,432800.0,664
suginami,2011,0,38642.0,432800.0,658
suginami,2012,0,39496.0,429100.0,524
suginami,2013,0,40017.0,434600.0,145
suginami,2014,0,39234.0,482600.4504504505,528
suginami,2015,0,40783.0,482600.4504504505,399
suginami,2016,0,39414.0,467600.0,560
suginami,2017,0,39625.0,483800.0,588
suginami,2018,0,39097.0,500000.0,568
suginami,2019,0,26574.4,482600.4504504505,634
suginami,2020,0,26574.4,482600.4504504505,431
suginami,2021,0,26574.4,482600.4504504505,459
sumida,2008,1,15014.0,336000.0,629
sumida,2009,1,16086.0,321500.0,558
sumida,2010,1,15722.0,301000.0,675
sumida,2011,1,14870.0,297000.0,641
sumida,2012,1,16598.0,291500.0,611
sumida,2013,1,17169.0,341100.0,661
sumida,2014,1,17894.0,482600.4504504505,686
sumida,2015,1,18158.0,482600.4504504505,698
sumida,2016,1,17983.0,368300.0,700
sumida,2017,1,19083.0,380900.0,757
sumida,2018,1,18787.0,393500.0,698
sumida,2019,1,26574.4,482600.4504504505,938
sumida,2020,1,26574.4,482600.4504504505,655
sumida,2021,1,26574.4,482600.4504504505,657
taito,2008,0,12456.0,702000.0,0
taito,2009,0,12981.0,648000.0,202
taito,2010,0,13305.0,591100.0,111
taito,2011,0,13235.0,597000.0,55
taito,2012,0,14758.0,587300.0,50
taito,2013,0,14051.0,687700.0,26
taito,2014,0,13725.0,482600.4504504505,71
taito,2015,0,14005.0,482600.4504504505,126
taito,2016,0,14224.0,740000.0,53
taito,2017,0,14884.0,773150.0,39
taito,2018,0,15728.0,806300.0,85
taito,2019,0,26574.4,482600.4504504505,653
taito,2020,0,26574.4,482600.4504504505,384
taito,2021,0,26574.4,482600.4504504505,224
toda,2008,0,7984.0,229000.0,100
toda,2009,0,7725.0,222300.0,43
toda,2010,0,8612.0,210400.0,0
toda,2011,0,8296.0,208800.0,0
toda,2012,0,8519.0,206500.0,24
toda,2013,0,8017.0,208400.0,189
toda,2014,0,8030.0,482600.4504504505,0
toda,2015,0,7996.0,482600.4504504505,63
toda,2016,0,7790.0,217300.0,0
toda,2017,0,7387.0,220550.0,0
toda,2018,0,7231.0,223800.0,203
toda,2019,0,26574.4,482600.4504504505,170
toda,2020,0,26574.4,482600.4504504505,161
toda,2021,0,26574.4,482600.4504504505,123
toshima,2008,0,21057.0,539900.0,0
toshima,2009,0,21724.0,501300.0,0
toshima,2010,0,22089.0,466000.0,0
toshima,2011,0,23425.0,459400.0,0
toshima,2012,0,22670.0,458400.0,64
toshima,2013,0,22723.0,457400.0,63
toshima,2014,0,22064.0,482600.4504504505,0
toshima,2015,0,23521.0,482600.4504504505,27
toshima,2016,0,21776.0,499200.0,32
toshima,2017,0,21837.0,523600.0,57
toshima,2018,0,21903.0,548000.0,25
toshima,2019,0,26574.4,482600.4504504505,617
toshima,2020,0,26574.4,482600.4504504505,284
toshima,2021,0,26574.4,482600.4504504505,75
urayasu,2008,0,12333.0,344700.0,323
urayasu,2009,0,10859.0,320300.0,325
urayasu,2010,0,10236.0,287700.0,296
urayasu,2011,0,9090.0,288600.0,379
urayasu,2012,0,8410.0,265800.0,259
urayasu,2013,0,9293.0,258900.0,465
urayasu,2014,0,9181.0,482600.4504504505,533
urayasu,2015,0,9667.0,482600.4504504505,576
urayasu,2016,0,9947.0,261600.0,699
urayasu,2017,0,9582.0,482600.4504504505,785
urayasu,2018,0,9973.0,482600.4504504505,785
urayasu,2019,0,26574.4,482600.4504504505,904
urayasu,2020,0,26574.4,482600.4504504505,571
urayasu,2021,0,26574.4,482600.4504504505,446
wako,2008,0,6958.0,239000.0,100
wako,2009,0,6970.0,231000.0,79
wako,2010,0,6350.0,220900.0,0
wako,2011,0,6499.0,219500.0,87
wako,2012,0,6346.0,216300.0,62
wako,2013,0,6568.0,218000.0,896
wako,2014,0,6713.0,482600.4504504505,800
wako,2015,0,6876.0,482600.4504504505,774
wako,2016,0,6595.0,229800.0,833
wako,2017,0,6539.0,234500.0,838
wako,2018,0,6876.0,239200.0,803
wako,2019,0,26574.4,482600.4504504505,798
wako,2020,0,26574.4,482600.4504504505,454
wako,2021,0,26574.4,482600.4504504505,736
yashio,2008,0,4253.0,144900.0,0
yashio,2009,0,3871.0,139200.0,0
yashio,2010,0,3409.0,132900.0,0
yashio,2011,0,3865.0,127900.0,100
yashio,2012,0,3878.0,123700.0,81
yashio,2013,0,3810.0,120800.0,0
yashio,2014,0,3840.0,482600.4504504505,184
yashio,2015,0,3955.0,482600.4504504505,77
yashio,2016,0,4307.0,119300.0,87
yashio,2017,0,4982.0,121950.0,0
yashio,2018,0,5452.0,124600.0,0
yashio,2019,0,26574.4,482600.4504504505,80
yashio,2020,0,26574.4,482600.4504504505,0
yashio,2021,0,26574.4,482600.4504504505,0
yokohama,2008,1,203927.0,482600.4504504505,396
yokohama,2009,1,200654.0,482600.4504504505,252
yokohama,2010,1,191882.0,482600.4504504505,304
yokohama,2011,1,185386.0,482600.4504504505,333
yokohama,2012,1,188269.0,482600.4504504505,254
yokohama,2013,1,187732.0,482600.4504504505,259
yokohama,2014,1,182084.0,482600.4504504505,279
yokohama,2015,1,187687.0,482600.4504504505,313
yokohama,2016,1,178977.0,482600.4504504505,339
yokohama,2017,1,177695.0,482600.4504504505,374
yokohama,2018,1,183286.0,482600.4504504505,370
yokohama,2019,1,26574.4,482600.4504504505,470
yokohama,2020,1,26574.4,482600.4504504505,301
yokohama,2021,1,26574.4,482600.4504504505,347
